# 이 표는 우리 순위가 아니다. 우리 순위는 지표 가중합이 아니라 실제 질문·답변의
# 채점이다(JUDGING.md). 지표로 줄 세우는 방식은 우리가 실측으로 폐기했다.
# 여기 있는 것은 **재계산에 필요한 원자료를 편 것**이다.
name,category,ours,repo_url,status,reachable,needs_key,tool_count,warm_ms,cold_ms,described_pct,desc_median,input_schema_pct,output_schema_pct,annotated_pct,readonly_pct,self_hosting,license,repo_public,paid_disclosed,tools_total,tools_free,tools_paid,rank_in_category,factual_errors
ai.seldons/korea-business-trade,세금·재정,0,,live,1,0,,,22,,,,,,,unknown,,,0,,,,,
ai.smithery/alphago2580-naramarketmcp,세금·재정,0,https://github.com/alphago2580/naramarketmcp,unverified,0,0,,,453,,,,,,,source_only,Apache-2.0,1,0,,,,,
ai.smithery/hjsh200219-pharminfo-mcp,의료·복지,0,https://github.com/hjsh200219/pharminfo-mcp,unverified,0,0,,,411,,,,,,,unknown,,,0,,,,,
ai.smithery/isnow890-data4library-mcp,교육·문화,0,https://github.com/isnow890/data4library-mcp,unverified,0,0,,,396,,,,,,,source_only,MIT,1,0,,,,,
ai.smithery/jjlabsio-korea-stock-mcp,금융·증시,0,https://github.com/jjlabsio/korea-stock-mcp,unverified,0,0,,,398,,,,,,,source_only,ISC,1,0,,,,,
ai.timeplex/booking,커머스·생활,0,,live,1,0,5,416,399,100,690,100,100,100,80,unknown,,,0,,,,1,0
aibridge-leo/tradingview-mcp-aibridge,금융·증시,0,https://github.com/aibridge-leo/tradingview-mcp-aibridge,,,,,,,,,,,,,source_only,,1,0,,,,,
alice840126-ship-it/korean-law-mcp-setup,기타,0,https://github.com/alice840126-ship-it/korean-law-mcp-setup,,,,,,,,,,,,,source_only,,1,0,,,,,
alphago2580/naver_searchad_mcp,커머스·생활,0,https://github.com/alphago2580/naver_searchad_mcp,,,,,,,,,,,,,source_only,MIT,1,0,,,,,
anboyu-alt/dart-risk-mcp,금융·증시,0,https://github.com/anboyu-alt/dart-risk-mcp,,,,,,,,,,,,,packaged,,1,0,,,,,
antisdream/skn29-3rd-4team,한국어·언어,0,https://github.com/antisdream/skn29-3rd-4team,,,,,,,,,,,,,source_only,,1,0,,,,,
antryu/kolaw,법령·판례,0,https://github.com/antryu/kolaw,,,,,,,,,,,,,source_only,,1,0,,,,,
app.apick/all,공공데이터·행정,0,https://github.com/lead788/apick-mcp,live,1,0,97,66,103,100,173,98,0,100,86,packaged,MIT,1,0,,,,3,0
app.apick/business,공공데이터·행정,0,https://github.com/lead788/apick-mcp,live,1,0,16,36,33,100,189,94,0,100,88,source_only,MIT,1,0,,,,,
app.apick/finance,금융·증시,0,https://github.com/lead788/apick-mcp,live,1,0,3,29,32,100,155,67,0,100,67,source_only,MIT,1,0,,,,,
app.sallim/contract-compass,법령·판례,1,https://github.com/sallim-app/contract-compass,live,1,0,11,33,33,100,1851,100,0,100,91,source_only,MIT,1,0,,,,2,0
app.sallim/korea-realty,부동산,1,https://github.com/sallim-app/korea-realty,live,1,0,52,47,59,100,729,100,0,100,98,source_only,MIT,1,1,52,42,10,1,4
app.sallim/korea-stay,커머스·생활,1,,live,1,0,4,29,43,100,147,100,100,100,75,unknown,,,0,,,,,
